Tiempo (s),Potencial (mV),EKG (mV)
0,0.553113553,0.025516125
0.005,0.021978022,0.085402984
0.01,-0.272283272,0.114079878
0.015,0.311355311,0.097388116
0.02,0.277167277,0.100160217
0.025,-0.239316239,0.111937029
0.03,0.115995116,0.093130693
0.035,0.571428571,0.092719427
0.04,-0.118437118,0.128017311
0.045,-0.081807082,0.133414251
0.05,0.759462759,0.133473825
0.055,0.349206349,0.191279953
0.06,0.008547009,0.25206207
0.065,0.810744811,0.289742363
0.07,0.582417582,0.356873143
0.075,-0.186813187,0.406555113
0.08,0.074481074,0.369036695
0.085,0.433455433,0.30073731
0.09,-0.203907204,0.24567412
0.095,-0.148962149,0.167570785
0.1,0.545787546,0.100265011
0.105,0.001221001,0.092202346
0.11,-0.263736264,0.084347375
0.115,0.263736264,0.052809516
0.12,0.199023199,0.048901947
0.125,-0.273504274,0.055868398
0.13,0.058608059,0.035635849
0.135,0.518925519,0.035838565
0.14,-0.157509158,0.072640526
0.145,-0.146520147,0.079983395
0.15,0.572649573,0.074468294
0.155,0.076923077,0.107638549
0.16,-0.203907204,0.128197796
0.165,0.389499389,0.117356799
0.17,0.344322344,0.132783762
0.175,-0.264957265,0.153382488
0.18,0.035409035,0.128281732
0.185,0.5995116,0.110965962
0.19,-0.111111111,0.133794443
0.195,-0.083028083,0.133907859
0.2,0.643467643,0.12615209
0.205,0.118437118,0.160061342
0.21,-0.156288156,0.180604557
0.215,0.476190476,0.170393041
0.22,0.304029304,0.184679355
0.225,-0.245421245,0.196323814
0.23,0.05982906,0.159965609
0.235,0.553113553,0.132280637
0.24,-0.134310134,0.141851756
0.245,-0.070818071,0.130240664
0.25,0.617826618,0.116268796
0.255,0.073260073,0.145058069
0.26,-0.172161172,0.159768414
0.265,0.538461538,0.149857132
0.27,0.484737485,0.181430035
0.275,-0.186813187,0.224424997
0.28,0.102564103,0.21401515
0.285,0.617826618,0.198750201
0.29,-0.09035409,0.212134074
0.295,-0.086691087,0.195737762
0.3,0.58974359,0.166594219
0.305,0.135531136,0.17818485
0.31,-0.167277167,0.182999039
0.315,0.549450549,0.16776426
0.32,0.462759463,0.193639957
0.325,-0.189255189,0.229946418
0.33,0.16971917,0.217087023
0.335,0.732600733,0.211428564
0.34,-0.05006105,0.24274377
0.345,-0.054945055,0.239994807
0.35,0.677655678,0.218239903
0.355,0.14041514,0.23373522
0.36,-0.186813187,0.233824154
0.365,0.405372405,0.19866308
0.37,0.289377289,0.186844276
0.375,-0.242979243,0.180744271
0.38,0.04029304,0.137182125
0.385,0.47985348,0.10508891
0.39,-0.185592186,0.107483411
0.395,-0.186813187,0.085222515
0.4,0.448107448,0.053422705
0.405,-0.030525031,0.059243032
0.41,-0.305250305,0.054947496
0.415,0.258852259,0.025065245
0.42,0.242979243,0.026753534
0.425,-0.286935287,0.04376972
0.43,-0.008547009,0.028402882
0.435,0.488400488,0.024109554
0.44,-0.15018315,0.055288255
0.445,-0.108669109,0.064081388
0.45,0.567765568,0.065818825
0.455,0.021978022,0.102912835
0.46,-0.239316239,0.119345636
0.465,0.36996337,0.101405756
0.47,0.343101343,0.11279253
0.475,-0.234432234,0.135487456
0.48,0.010989011,0.11635324
0.485,0.516483516,0.099497879
0.49,-0.114774115,0.115712977
0.495,-0.130647131,0.109545423
0.5,0.521367521,0.093000944
0.505,0.04029304,0.111638012
0.51,-0.192918193,0.11907324
0.515,0.468864469,0.106446749
0.52,0.389499389,0.132922336
0.525,-0.235653236,0.168110638
0.53,0.087912088,0.154677323
0.535,0.598290598,0.144368681
0.54,-0.111111111,0.16678905
0.545,-0.085470085,0.160444366
0.55,0.693528694,0.146699817
0.555,0.189255189,0.181645222
0.56,-0.155067155,0.207614882
0.565,0.496947497,0.199425195
0.57,0.443223443,0.217741369
0.575,-0.203907204,0.240982149
0.58,0.112332112,0.214760052
0.585,0.626373626,0.192087933
0.59,-0.10989011,0.2033962
0.595,-0.095238095,0.185788993
0.6,0.622710623,0.157716753
0.605,0.101343101,0.172542611
0.61,-0.213675214,0.176215164
0.615,0.36019536,0.147082033
0.62,0.382173382,0.146619413
0.625,-0.181929182,0.162821053
0.63,0.113553114,0.146827618
0.635,0.631257631,0.143073311
0.64,-0.047619048,0.17610974
0.645,-0.083028083,0.180757733
0.65,0.627594628,0.168783802
0.655,0.096459096,0.190273411
0.66,-0.217338217,0.193557174
0.665,0.422466422,0.163342166
0.67,0.402930403,0.165880958
0.675,-0.197802198,0.184059994
0.68,0.063492063,0.162303554
0.685,0.617826618,0.146888539
0.69,-0.092796093,0.167853377
0.695,-0.108669109,0.162117277
0.7,0.652014652,0.145152701
0.705,0.188034188,0.173843168
0.71,-0.202686203,0.193951739
0.715,0.332112332,0.173346744
0.72,0.37973138,0.170035059
0.725,-0.179487179,0.179106496
0.73,0.073260073,0.154855096
0.735,0.582417582,0.139700126
0.74,-0.098901099,0.159021331
0.745,-0.091575092,0.15269845
0.75,0.695970696,0.14050661
0.755,0.170940171,0.17645724
0.76,-0.211233211,0.199710408
0.765,0.371184371,0.179814641
0.77,0.382173382,0.178981552
0.775,-0.222222222,0.187677448
0.78,0.084249084,0.158336487
0.785,0.606837607,0.140204978
0.79,-0.107448107,0.160334859
0.795,-0.106227106,0.153829352
0.8,0.553113553,0.133002617
0.805,0.057387057,0.146996343
0.81,-0.22954823,0.146975192
0.815,0.374847375,0.118604674
0.82,0.418803419,0.12608137
0.825,-0.214896215,0.152512205
0.83,0.039072039,0.138664082
0.835,0.532356532,0.124516054
0.84,-0.115995116,0.140149813
0.845,-0.103785104,0.131045878
0.85,0.782661783,0.123565868
0.855,0.433455433,0.184505327
0.86,0.012210012,0.257090874
0.865,0.727716728,0.300042577
0.87,0.52991453,0.357951682
0.875,-0.246642247,0.39146492
0.88,0.036630037,0.339090832
0.885,0.496947497,0.265687781
0.89,-0.174603175,0.220045855
0.895,-0.202686203,0.154459436
0.9,0.421245421,0.086378756
0.905,0.039072039,0.068274418
0.91,-0.247863248,0.058375355
0.915,0.283272283,0.034736601
0.92,0.338217338,0.047004843
0.925,-0.22954823,0.078048381
0.93,0.046398046,0.075477976
0.935,0.584859585,0.080958084
0.94,-0.108669109,0.119802875
0.945,-0.147741148,0.126939187
0.95,0.494505495,0.111193375
0.955,0.043956044,0.123768255
0.96,-0.238095238,0.122998334
0.965,0.358974359,0.096543519
0.97,0.415140415,0.107005493
0.975,-0.213675214,0.137410657
0.98,0.045177045,0.128529112
0.985,0.603174603,0.122580448
0.99,-0.113553114,0.149532145
0.995,-0.118437118,0.147079565
1,0.57997558,0.129322648
1.005,0.130647131,0.150799939
1.01,-0.170940171,0.164459557
1.015,0.390720391,0.149110329
1.02,0.405372405,0.160910531
1.025,-0.223443223,0.18213956
1.03,0.064713065,0.160040764
1.035,0.609279609,0.143410419
1.04,-0.095238095,0.163574446
1.045,-0.123321123,0.156938556
1.05,0.577533578,0.135586619
1.055,0.11965812,0.153182403
1.06,-0.195360195,0.16224034
1.065,0.378510379,0.141714162
1.07,0.426129426,0.15103755
1.075,-0.15018315,0.177601752
1.08,0.201465201,0.172989629
1.085,0.752136752,0.185157147
1.09,-0.054945055,0.233128836
1.095,-0.130647131,0.237304293
1.1,0.551892552,0.206439844
1.105,0.115995116,0.203410234
1.11,-0.194139194,0.191591447
1.115,0.438339438,0.158085458
1.12,0.468864469,0.165552083
1.125,-0.186813187,0.193537882
1.13,0.147741148,0.182797705
1.135,0.748473748,0.18332595
1.14,-0.05982906,0.22286955
1.145,-0.128205128,0.224286145
1.15,0.564102564,0.195030326
1.155,0.129426129,0.196756017
1.16,-0.175824176,0.191151197
1.165,0.454212454,0.163824209
1.17,0.411477411,0.172932825
1.175,-0.26984127,0.191971506
1.18,-0.035409035,0.15836318
1.185,0.474969475,0.118807847
1.19,-0.189255189,0.110889
1.195,-0.221001221,0.080787024
1.2,0.417582418,0.041217877
1.205,0.020757021,0.0434415
1.21,-0.282051282,0.044686379
1.215,0.233211233,0.022745718
1.22,0.31990232,0.031020875
1.225,-0.240537241,0.058543881
1.23,-0.001221001,0.053785605
1.235,0.437118437,0.050476509
1.24,-0.164835165,0.072204419
1.245,-0.194139194,0.065567575
1.25,0.433455433,0.044684447
1.255,0.043956044,0.059232314
1.26,-0.251526252,0.067905424
1.265,0.306471306,0.052599694
1.27,0.434676435,0.072091269
1.275,-0.183150183,0.114168504
1.28,0.092796093,0.12123057
1.285,0.63980464,0.131961437
1.29,-0.076923077,0.172651466
1.295,-0.103785104,0.178434774
1.3,0.62026862,0.163842926
1.305,0.151404151,0.18585797
1.31,-0.206349206,0.195453327
